"No.","Time","Source","Destination","Protocol","Length","Info"
"301","21.639113","10.192.157.113","10.192.157.147","DNS","215","Standard query response 0x57d6 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com A 104.208.16.95"
"302","21.639113","10.192.157.113","10.192.157.147","DNS","199","Standard query response 0xd62b AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com"
"303","21.672893","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","235","Standard query response 0x57d6 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com A 104.208.16.95"
"304","21.672893","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","219","Standard query response 0xd62b AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com"
"307","21.713376","10.192.157.147","10.192.157.113","DNS","92","Standard query 0x96ac AAAA mobile.events.data.microsoft.com"
"311","21.734511","10.192.157.113","10.192.157.147","DNS","199","Standard query response 0x96ac AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com"
"394","22.881520","10.192.157.147","10.192.157.113","DNS","75","Standard query 0x2415 A www.yxnu.edu.cn"
"396","22.921746","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","95","Standard query 0x2415 A www.yxnu.edu.cn"
"398","22.932637","10.192.157.113","10.192.157.147","DNS","91","Standard query response 0x2415 A www.yxnu.edu.cn A 61.166.32.242"
"403","22.956847","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","111","Standard query response 0x2415 A www.yxnu.edu.cn A 61.166.32.242"
"417","24.554634","10.192.157.147","10.192.157.113","DNS","92","Standard query 0x2b3a HTTPS mobile.events.data.microsoft.com"
"418","24.555199","10.192.157.147","10.192.157.113","DNS","92","Standard query 0x005f AAAA mobile.events.data.microsoft.com"
"419","24.555450","10.192.157.147","10.192.157.113","DNS","92","Standard query 0x17e0 A mobile.events.data.microsoft.com"
"428","24.565903","10.192.157.147","10.192.157.113","DNS","92","Standard query 0xf75f AAAA mobile.events.data.microsoft.com"
"429","24.598454","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","112","Standard query 0xf75f AAAA mobile.events.data.microsoft.com"
"430","24.624736","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","219","Standard query response 0xf75f AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com"
"432","24.627644","10.192.157.113","10.192.157.147","DNS","199","Standard query response 0x005f AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com"
"433","24.627644","10.192.157.113","10.192.157.147","DNS","199","Standard query response 0xf75f AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com"
"434","24.630667","10.192.157.113","10.192.157.147","DNS","199","Standard query response 0x2b3a HTTPS mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com"
"435","24.630667","10.192.157.113","10.192.157.147","DNS","212","Standard query response 0x17e0 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus00.westus.cloudapp.azure.com A 20.189.173.1"
"472","25.582809","10.192.157.147","10.192.157.113","DNS","74","Standard query 0x7f59 A www.doubao.com"
"473","25.583306","10.192.157.147","10.192.157.113","DNS","74","Standard query 0x3a8e AAAA www.doubao.com"
